Delivery_ID,Order_Date,Ship_Date,Ship_Mode,Destination_ID
0,2018-04-09,2018-06-09,First Class,0
1,2016-05-09,2016-09-09,Standard Class,1
2,2015-11-28,2015-11-28,Same Day,2
3,2018-05-30,2018-05-31,First Class,3
4,2016-03-24,2016-03-27,First Class,4
5,2015-05-26,2015-05-30,Standard Class,5
6,2017-04-06,2017-04-06,Same Day,6
7,2015-11-19,2015-11-25,Standard Class,7
8,2015-12-31,2016-07-01,Standard Class,8
9,2018-06-08,2018-10-08,Second Class,3
10,2016-09-21,2016-09-27,Standard Class,10
11,2018-12-19,2018-12-23,Standard Class,11
12,2017-01-30,2017-01-02,Second Class,12
13,2018-06-15,2018-06-19,Standard Class,13
14,2015-08-08,2015-10-08,Second Class,14
15,2015-08-19,2015-08-26,Standard Class,15
16,2015-06-14,2015-06-20,Standard Class,16
17,2017-09-27,2017-03-10,Standard Class,17
18,2017-05-11,2017-09-11,Standard Class,18
19,2018-11-24,2018-01-12,Standard Class,6
20,2016-08-16,2016-08-20,Standard Class,20
21,2018-06-29,2018-06-30,First Class,21
22,2018-10-06,2018-06-13,First Class,22
23,2018-04-16,2018-04-20,Standard Class,23
24,2015-12-04,2015-04-17,Standard Class,24
25,2017-08-13,2017-08-18,Second Class,25
26,2015-10-28,2015-10-31,First Class,26
27,2015-09-20,2015-09-24,Standard Class,27
28,2015-03-30,2015-04-04,Standard Class,28
29,2016-11-20,2016-11-27,Standard Class,29
30,2017-03-12,2017-07-12,Standard Class,30
31,2017-10-17,2017-10-20,First Class,31
32,2016-11-20,2016-11-25,Standard Class,6
33,2018-11-06,2018-06-13,Second Class,12
34,2018-07-07,2018-09-07,First Class,20
35,2018-09-12,2018-11-12,Second Class,35
36,2016-04-16,2016-04-18,First Class,36
37,2017-10-10,2017-12-10,First Class,37
38,2015-09-11,2015-11-11,Second Class,28
39,2018-06-05,2018-11-05,Standard Class,39
40,2018-02-17,2018-02-19,First Class,40
41,2015-06-20,2015-06-24,Standard Class,41
42,2017-08-04,2017-11-04,First Class,42
43,2018-01-13,2018-01-18,Second Class,43
44,2016-11-30,2016-04-12,Standard Class,6
45,2016-07-14,2016-07-19,Second Class,45
46,2018-01-21,2018-01-25,Standard Class,46
47,2017-11-24,2017-11-30,Standard Class,47
48,2017-08-11,2017-11-11,Second Class,48
49,2017-09-04,2017-04-14,Standard Class,49
50,2018-08-25,2018-08-29,Standard Class,50
51,2018-01-05,2018-02-05,First Class,51
52,2017-06-09,2017-09-09,Second Class,6
53,2018-09-23,2018-09-29,Standard Class,53
54,2017-04-07,2017-06-07,First Class,54
55,2018-06-02,2018-11-02,Standard Class,55
56,2016-01-03,2016-04-03,First Class,56
57,2018-05-30,2018-03-06,Second Class,57
58,2016-11-13,2016-11-17,Standard Class,40
59,2018-03-27,2018-01-04,Standard Class,56
60,2018-03-26,2018-03-27,First Class,60
61,2017-09-16,2017-09-22,Standard Class,23
62,2016-06-28,2016-03-07,Second Class,62
63,2018-08-12,2018-12-12,Standard Class,28
64,2018-09-22,2018-09-24,Second Class,64
65,2015-01-19,2015-01-20,First Class,65
66,2018-02-10,2018-08-10,Standard Class,66
67,2018-09-19,2018-09-25,Standard Class,66
68,2015-03-03,2015-08-03,Standard Class,68
69,2018-04-23,2018-04-27,Standard Class,69
70,2017-03-19,2017-03-21,Second Class,70
71,2018-11-17,2018-11-23,Standard Class,71
72,2018-12-18,2018-12-23,Second Class,72
73,2016-10-31,2016-10-31,Same Day,73
74,2016-09-17,2016-09-23,Standard Class,6
75,2015-11-17,2015-11-22,Standard Class,75
76,2015-09-20,2015-09-23,First Class,76
77,2018-06-25,2018-06-27,Second Class,55
78,2017-11-26,2017-11-30,Standard Class,22
79,2017-01-22,2017-01-28,Standard Class,79
80,2016-07-25,2016-07-27,Second Class,46
81,2018-11-25,2018-11-29,Standard Class,2
82,2016-03-12,2016-07-12,Standard Class,28
83,2017-08-04,2017-04-13,Standard Class,6
84,2018-04-27,2018-01-05,Standard Class,39
85,2016-11-20,2016-11-23,Second Class,85
86,2016-12-27,2016-12-31,Standard Class,40
87,2016-12-10,2016-10-14,First Class,6
88,2017-10-21,2017-10-21,Same Day,88
89,2018-09-15,2018-09-17,Second Class,89
90,2016-08-31,2016-02-09,First Class,2
91,2016-07-20,2016-07-27,Standard Class,91
92,2015-11-11,2015-11-15,Second Class,92
93,2017-08-01,2017-12-01,Standard Class,93
94,2016-11-21,2016-11-25,Standard Class,94
95,2016-06-02,2016-02-13,Standard Class,7
96,2018-06-29,2018-02-07,First Class,96
97,2017-11-21,2017-11-21,Same Day,60
98,2018-01-12,2018-08-12,Standard Class,98
100,2016-12-24,2016-12-28,Standard Class,100
101,2015-12-31,2016-04-01,Second Class,101
102,2018-07-17,2018-07-19,Second Class,102
103,2016-12-25,2016-12-30,Standard Class,55
104,2017-09-25,2017-09-27,First Class,28
105,2018-03-31,2018-04-04,Standard Class,105
106,2016-06-07,2016-11-07,Standard Class,106
107,2018-03-06,2018-10-06,Standard Class,107
108,2017-05-12,2017-07-12,First Class,108
109,2017-08-29,2017-03-09,Standard Class,20
110,2016-12-27,2016-12-31,Standard Class,110
111,2017-09-20,2017-09-24,Standard Class,98
112,2015-09-23,2015-09-28,Standard Class,112
113,2016-08-03,2016-12-03,Standard Class,113
114,2015-07-30,2015-05-08,Standard Class,12
115,2016-11-27,2016-11-29,Second Class,89
116,2018-03-08,2018-04-08,First Class,116
117,2018-09-10,2018-10-14,Standard Class,55
118,2018-10-27,2018-10-28,First Class,28
119,2015-01-13,2015-01-18,Standard Class,54
120,2017-09-30,2017-04-10,Standard Class,76
122,2016-07-17,2016-07-19,Second Class,122
123,2017-08-28,2017-08-31,First Class,123
124,2018-11-20,2018-11-22,First Class,6
125,2015-11-25,2015-11-29,Second Class,60
126,2018-08-12,2018-12-13,Standard Class,126
127,2017-03-09,2017-08-09,Second Class,127
128,2015-02-12,2015-04-12,First Class,6
129,2017-10-03,2017-03-16,Standard Class,129
130,2015-09-25,2015-09-30,Standard Class,40
131,2016-03-01,2016-08-01,Second Class,57
132,2017-06-21,2017-06-26,Standard Class,76
133,2015-04-06,2015-09-06,Standard Class,6
134,2018-09-17,2018-09-21,Second Class,134
135,2018-12-10,2018-10-16,Standard Class,135
136,2016-09-19,2016-09-24,Second Class,136
137,2018-04-14,2018-04-18,Standard Class,79
138,2015-01-14,2015-01-15,First Class,50
139,2018-12-30,2019-03-01,Standard Class,60
140,2017-12-23,2017-12-24,First Class,116
141,2018-04-14,2018-04-19,Standard Class,55
142,2017-04-17,2017-04-21,Standard Class,142
143,2018-11-13,2018-11-19,Standard Class,21
144,2018-07-21,2018-07-27,Standard Class,144
145,2017-08-09,2017-09-14,Standard Class,145
146,2016-11-12,2016-12-16,Standard Class,100
147,2017-08-12,2017-12-12,Standard Class,147
148,2018-05-18,2018-05-19,First Class,148
149,2017-07-19,2017-07-25,Standard Class,149
150,2015-11-18,2015-11-21,First Class,150
151,2018-02-12,2018-06-12,Standard Class,37
152,2018-12-22,2018-12-27,Second Class,8
153,2016-05-10,2016-09-10,Standard Class,153
154,2018-02-03,2018-08-03,Standard Class,154
155,2016-08-21,2016-08-26,Standard Class,2
156,2017-02-12,2017-04-12,Second Class,18
157,2018-01-04,2018-03-04,First Class,28
158,2017-03-09,2017-07-09,Standard Class,158
159,2017-10-17,2017-10-21,Standard Class,159
160,2018-07-10,2018-10-13,Standard Class,28
161,2016-11-21,2016-11-26,Second Class,161
162,2018-11-25,2018-11-30,Standard Class,162
163,2016-06-08,2016-10-08,Standard Class,163
164,2016-12-20,2016-12-25,Standard Class,116
165,2015-01-31,2015-02-02,First Class,165
166,2018-06-30,2018-02-07,Second Class,166
167,2017-10-11,2017-12-11,First Class,167
168,2018-12-25,2018-12-29,Standard Class,6
169,2017-05-02,2017-05-02,Same Day,169
170,2018-10-02,2018-02-14,Standard Class,170
171,2018-06-02,2018-09-02,First Class,136
172,2018-06-18,2018-06-23,Standard Class,166
173,2017-03-29,2017-02-04,Standard Class,173
174,2016-05-14,2016-05-19,Standard Class,174
175,2015-11-16,2015-11-18,First Class,5
176,2018-12-13,2018-12-18,Standard Class,55
177,2016-05-04,2016-10-04,Standard Class,177
178,2017-06-14,2017-06-14,Same Day,178
179,2018-03-09,2018-07-09,Second Class,179
180,2015-03-18,2015-03-21,Second Class,28
181,2017-06-17,2017-06-19,First Class,22
182,2015-09-20,2015-09-23,First Class,0
183,2015-09-07,2015-07-14,Standard Class,2
184,2016-05-31,2016-04-06,Standard Class,184
185,2016-02-11,2016-06-11,Standard Class,1
186,2017-03-24,2017-03-26,Second Class,186
187,2016-12-25,2017-01-01,Standard Class,187
188,2018-10-19,2018-10-24,Standard Class,188
189,2016-03-10,2016-06-10,Second Class,68
190,2016-03-13,2016-03-15,First Class,12
191,2016-03-10,2016-08-10,Standard Class,166
192,2017-03-14,2017-03-17,First Class,192
193,2015-01-26,2015-01-29,First Class,193
194,2017-07-28,2017-07-29,First Class,194
195,2015-12-12,2015-12-14,Second Class,159
196,2018-10-30,2018-02-11,First Class,46
197,2017-09-26,2017-01-10,Standard Class,197
198,2016-11-13,2016-11-19,Standard Class,154
199,2018-11-05,2018-05-13,First Class,199
200,2018-05-05,2018-06-05,First Class,200
201,2015-12-11,2015-11-16,Standard Class,18
202,2015-10-05,2015-05-14,Second Class,202
204,2016-09-08,2016-08-13,Second Class,204
205,2016-02-01,2016-09-01,Standard Class,205
206,2017-07-14,2017-07-18,Second Class,60
207,2018-05-19,2018-05-23,Standard Class,207
208,2016-10-09,2016-09-14,Standard Class,208
209,2017-11-20,2017-11-25,Standard Class,209
210,2016-08-28,2016-04-09,Standard Class,26
211,2017-06-30,2017-02-07,Second Class,148
212,2017-11-20,2017-11-24,Second Class,68
213,2018-12-28,2019-01-01,Standard Class,213
214,2016-09-15,2016-09-19,Second Class,6
215,2016-07-17,2016-07-20,Second Class,215
216,2017-02-01,2017-07-01,Standard Class,216
217,2018-07-29,2018-02-08,Standard Class,12
218,2018-02-25,2018-01-03,Standard Class,218
219,2018-04-25,2018-04-27,Second Class,5
220,2018-05-28,2018-01-06,Standard Class,186
221,2016-09-17,2016-09-21,Standard Class,50
222,2017-08-09,2017-10-09,Second Class,18
224,2018-08-06,2018-10-06,First Class,26
225,2016-08-11,2016-12-11,Standard Class,225
226,2018-08-21,2018-08-23,Second Class,226
227,2018-06-16,2018-06-19,First Class,2
228,2015-01-12,2015-03-12,Second Class,68
229,2016-09-13,2016-09-18,Standard Class,229
230,2017-03-02,2017-10-02,Standard Class,230
231,2015-11-05,2015-05-16,Standard Class,17
232,2018-10-21,2018-10-22,First Class,66
233,2018-01-12,2018-06-12,Standard Class,233
234,2018-06-07,2018-06-07,Same Day,234
235,2015-06-07,2015-12-07,Standard Class,235
236,2015-07-22,2015-07-24,Second Class,2
237,2015-12-02,2015-02-18,Standard Class,179
238,2015-06-16,2015-06-22,Standard Class,238
239,2017-12-08,2017-08-16,Standard Class,76
240,2018-05-20,2018-05-24,Standard Class,142
241,2018-11-12,2018-12-17,Standard Class,14
242,2017-12-04,2017-04-14,First Class,178
243,2016-04-18,2016-04-22,Second Class,243
244,2015-11-10,2015-10-13,First Class,244
245,2018-06-30,2018-04-07,Second Class,0
246,2017-04-11,2017-06-11,Second Class,246
247,2017-12-06,2017-06-16,Second Class,56
248,2016-04-27,2016-03-05,Standard Class,248
249,2016-09-21,2016-09-26,Standard Class,249
250,2017-05-09,2017-09-09,Standard Class,202
251,2017-03-15,2017-03-16,First Class,28
252,2018-01-19,2018-01-24,Second Class,50
253,2018-03-25,2018-03-31,Standard Class,204
254,2015-01-13,2015-01-16,Second Class,254
256,2016-01-11,2016-03-11,Second Class,6
257,2018-11-18,2018-11-23,Standard Class,116
258,2015-03-21,2015-03-25,Standard Class,258
259,2017-05-31,2017-04-06,Standard Class,259
260,2018-07-11,2018-09-11,Second Class,260
261,2016-10-25,2016-10-25,Same Day,37
263,2017-05-12,2017-09-12,Standard Class,93
264,2015-06-22,2015-06-27,Standard Class,264
265,2017-07-04,2017-12-04,Standard Class,6
266,2015-08-09,2015-09-14,Standard Class,266
267,2018-02-11,2018-05-11,Second Class,48
268,2017-01-04,2017-05-04,Standard Class,60
269,2015-09-26,2015-09-27,First Class,1
270,2017-12-11,2017-11-16,Standard Class,270
271,2018-11-29,2018-03-12,Standard Class,271
272,2017-12-30,2018-01-01,First Class,272
273,2018-06-22,2018-06-26,Standard Class,187
274,2016-04-26,2016-02-05,Standard Class,274
275,2015-12-19,2015-12-21,Second Class,275
276,2016-01-27,2016-01-29,Second Class,186
277,2018-07-18,2018-07-23,Standard Class,199
278,2017-06-11,2017-09-11,First Class,14
279,2018-05-22,2018-05-26,Standard Class,0
280,2017-11-30,2017-06-12,Standard Class,187
281,2017-09-26,2017-09-30,Standard Class,40
282,2016-09-10,2016-10-13,Standard Class,187
283,2018-01-10,2018-02-10,First Class,23
284,2016-07-09,2016-11-09,Standard Class,284
285,2018-10-30,2018-01-11,First Class,230
286,2015-07-26,2015-01-08,Standard Class,207
287,2017-10-27,2017-10-31,Standard Class,76
288,2016-07-11,2016-09-11,Second Class,178
289,2015-11-23,2015-11-25,First Class,49
290,2016-07-13,2016-07-15,Second Class,6
291,2018-12-06,2018-06-18,Standard Class,6
292,2018-07-05,2018-11-05,Standard Class,16
293,2016-11-20,2016-11-24,Standard Class,293
294,2016-07-11,2016-09-11,Second Class,225
295,2015-12-21,2015-12-27,Standard Class,295
296,2018-06-16,2018-06-21,Second Class,296
297,2015-11-11,2015-11-14,Second Class,200
298,2017-03-21,2017-03-28,Standard Class,116
299,2016-06-09,2016-09-13,Standard Class,55
300,2018-09-24,2018-09-28,Standard Class,300
301,2018-07-26,2018-01-08,Standard Class,178
302,2017-02-07,2017-03-07,First Class,17
303,2018-03-24,2018-03-28,Standard Class,76
304,2018-10-22,2018-10-24,Second Class,53
305,2015-10-14,2015-10-17,First Class,89
306,2018-09-25,2018-01-10,Standard Class,60
307,2018-11-24,2018-11-28,Standard Class,6
308,2018-09-17,2018-09-22,Second Class,308
309,2017-07-07,2017-11-07,Second Class,309
310,2017-01-21,2017-01-23,Second Class,112
311,2016-08-08,2016-08-08,Same Day,54
312,2018-03-03,2018-10-03,Standard Class,312
313,2016-09-21,2016-09-26,Standard Class,89
314,2017-11-14,2017-11-19,Second Class,202
315,2016-10-12,2016-12-16,Standard Class,127
