Row_ID,Order_ID,Customer_ID,Product_ID,Delivery_ID,Sales
0,CA-2018-140326,HW-14935,FUR-BO-10000112,0,"825,174"
1,CA-2016-130785,AG-10900,FUR-BO-10000330,1,"411,332"
2,CA-2015-105249,DH-13675,FUR-BO-10000330,2,"411,332"
3,CA-2018-125472,BD-11725,FUR-BO-10000330,3,"241,96"
4,CA-2016-118423,DP-13390,FUR-BO-10000362,4,"359,058"
5,CA-2015-156349,ML-17395,FUR-BO-10000362,5,"290,666"
6,CA-2017-165848,EN-13780,FUR-BO-10000362,6,"136,784"
7,US-2015-123183,GR-14560,FUR-BO-10000362,7,"1025,88"
8,CA-2015-133592,KM-16375,FUR-BO-10000362,8,"341,96"
9,CA-2018-161200,SV-20365,FUR-BO-10000468,9,"145,74"
10,CA-2016-168480,DM-12955,FUR-BO-10000468,10,"194,32"
11,CA-2018-116946,TS-21505,FUR-BO-10000468,11,"102,018"
12,US-2017-166660,TB-21250,FUR-BO-10000468,12,"48,58"
13,CA-2018-126914,JE-15715,FUR-BO-10000468,13,"77,728"
14,CA-2015-156790,VG-21790,FUR-BO-10000468,14,"155,456"
15,US-2015-156559,LH-16900,FUR-BO-10000711,15,"638,82"
16,CA-2015-140487,SR-20425,FUR-BO-10000711,16,"212,94"
17,US-2017-110170,HM-14860,FUR-BO-10000780,17,"956,6648"
18,US-2017-131611,EP-13915,FUR-BO-10000780,18,"956,6648"
19,CA-2018-168641,KA-16525,FUR-BO-10000780,19,"321,568"
20,US-2016-164238,JW-15955,FUR-BO-10000780,20,"301,47"
21,CA-2018-137449,ME-17725,FUR-BO-10000780,21,"409,9992"
22,CA-2018-140963,MT-18070,FUR-BO-10001337,22,"514,165"
23,CA-2018-108070,JE-15745,FUR-BO-10001337,23,"102,833"
24,CA-2015-154599,KN-16450,FUR-BO-10001337,24,"308,499"
25,CA-2017-156251,TS-21160,FUR-BO-10001337,25,"241,96"
26,CA-2015-101931,TS-21370,FUR-BO-10001337,26,"616,998"
27,CA-2015-166744,DN-13690,FUR-BO-10001337,27,"362,94"
28,CA-2015-131247,GA-14725,FUR-BO-10001337,28,"205,666"
29,CA-2016-163965,SS-20875,FUR-BO-10001337,29,"290,352"
30,CA-2017-149762,RD-19720,FUR-BO-10001337,30,"205,666"
31,CA-2017-152688,NR-18550,FUR-BO-10001337,31,"120,98"
32,CA-2016-100454,BM-11650,FUR-BO-10001519,32,"186,048"
33,CA-2018-134565,TB-21400,FUR-BO-10001519,33,"174,42"
34,US-2018-169551,RL-19615,FUR-BO-10001519,34,"87,21"
35,CA-2018-141201,DB-12910,FUR-BO-10001519,35,"148,257"
